종목명,종목코드,날짜,종합가격,거래량
카카오게임즈,293490,2022.02.24,"69,000","797,713"
카카오게임즈,293490,2022.02.23,"72,100","708,609"
카카오게임즈,293490,2022.02.22,"70,200","561,959"
카카오게임즈,293490,2022.02.21,"71,700","596,785"
카카오게임즈,293490,2022.02.18,"70,800","577,259"
카카오게임즈,293490,2022.02.17,"70,300","989,879"
카카오게임즈,293490,2022.02.16,"71,700","830,498"
카카오게임즈,293490,2022.02.15,"68,700","786,561"
카카오게임즈,293490,2022.02.14,"69,500","874,134"
카카오게임즈,293490,2022.02.11,"70,800","1,368,707"
카카오게임즈,293490,2022.02.10,"69,900","2,094,214"
카카오게임즈,293490,2022.02.09,"74,300","2,357,851"
카카오게임즈,293490,2022.02.08,"77,200","2,654,176"
카카오게임즈,293490,2022.02.07,"73,000","1,364,566"
카카오게임즈,293490,2022.02.04,"73,700","2,888,619"
카카오게임즈,293490,2022.02.03,"66,300","809,350"
카카오게임즈,293490,2022.01.28,"65,700","865,015"
카카오게임즈,293490,2022.01.27,"65,700","1,219,475"
카카오게임즈,293490,2022.01.26,"70,500","861,832"
카카오게임즈,293490,2022.01.25,"69,100","910,576"
카카오게임즈,293490,2022.01.24,"69,700","784,006"
카카오게임즈,293490,2022.01.21,"71,800","841,905"
카카오게임즈,293490,2022.01.20,"71,400","784,814"
카카오게임즈,293490,2022.01.19,"68,000","877,505"
카카오게임즈,293490,2022.01.18,"68,900","516,578"
카카오게임즈,293490,2022.01.17,"69,800","484,310"
카카오게임즈,293490,2022.01.14,"70,800","837,413"
