name,code,day,price,qunt
삼성전자,005930,2022.03.16,"70,400","10,175,750"
삼성전자,005930,2022.03.15,"69,500","10,258,562"
삼성전자,005930,2022.03.14,"70,200","9,040,993"
삼성전자,005930,2022.03.11,"70,000","15,787,655"
삼성전자,005930,2022.03.10,"71,200","21,159,248"
삼성전자,005930,2022.03.08,"69,500","15,828,269"
삼성전자,005930,2022.03.07,"70,100","18,617,138"
삼성전자,005930,2022.03.04,"71,500","13,409,634"
삼성전자,005930,2022.03.03,"72,900","13,232,638"
삼성전자,005930,2022.03.02,"71,700","12,481,430"
삼성전자,005930,2022.02.28,"72,100","17,781,783"
삼성전자,005930,2022.02.25,"71,900","13,168,484"
삼성전자,005930,2022.02.24,"71,500","15,759,283"
삼성전자,005930,2022.02.23,"73,000","10,397,964"
삼성전자,005930,2022.02.22,"73,400","11,692,469"
삼성전자,005930,2022.02.21,"74,200","10,489,717"
삼성전자,005930,2022.02.18,"74,300","10,122,226"
