name,code,day,price,qunt
카카오게임즈,293490,2022.03.10,"74,300","764,003"
카카오게임즈,293490,2022.03.08,"71,200","548,510"
카카오게임즈,293490,2022.03.07,"70,300","681,612"
카카오게임즈,293490,2022.03.04,"72,600","751,086"
카카오게임즈,293490,2022.03.03,"75,600","593,207"
카카오게임즈,293490,2022.03.02,"75,500","999,550"
카카오게임즈,293490,2022.02.28,"73,500","703,332"
카카오게임즈,293490,2022.02.25,"72,500","1,250,082"
카카오게임즈,293490,2022.02.24,"69,000","797,713"
카카오게임즈,293490,2022.02.23,"72,100","708,609"
카카오게임즈,293490,2022.02.22,"70,200","561,959"
카카오게임즈,293490,2022.02.21,"71,700","596,785"
카카오게임즈,293490,2022.02.18,"70,800","577,259"
카카오게임즈,293490,2022.02.17,"70,300","989,879"
카카오게임즈,293490,2022.02.16,"71,700","830,498"
카카오게임즈,293490,2022.02.15,"68,700","786,561"
카카오게임즈,293490,2022.02.14,"69,500","874,134"
카카오게임즈,293490,2022.02.11,"70,800","1,368,707"
카카오게임즈,293490,2022.02.10,"69,900","2,094,214"
카카오게임즈,293490,2022.02.09,"74,300","2,357,851"
카카오게임즈,293490,2022.02.08,"77,200","2,654,176"
카카오게임즈,293490,2022.02.07,"73,000","1,364,566"
카카오게임즈,293490,2022.02.04,"73,700","2,888,619"
카카오게임즈,293490,2022.02.03,"66,300","809,350"
카카오게임즈,293490,2022.01.28,"65,700","865,015"
카카오게임즈,293490,2022.01.27,"65,700","1,219,475"
카카오게임즈,293490,2022.01.26,"70,500","861,832"
카카오게임즈,293490,2022.01.25,"69,100","910,576"
카카오게임즈,293490,2022.01.24,"69,700","784,006"
카카오게임즈,293490,2022.01.21,"71,800","841,905"
카카오게임즈,293490,2022.01.20,"71,400","784,814"
카카오게임즈,293490,2022.01.19,"68,000","877,505"
카카오게임즈,293490,2022.01.18,"68,900","516,578"
카카오게임즈,293490,2022.01.17,"69,800","484,310"
카카오게임즈,293490,2022.01.14,"70,800","837,413"
카카오게임즈,293490,2022.01.13,"71,100","1,103,603"
카카오게임즈,293490,2022.01.12,"74,400","820,833"
카카오게임즈,293490,2022.01.11,"72,700","1,130,298"
카카오게임즈,293490,2022.01.10,"74,200","1,147,844"
카카오게임즈,293490,2022.01.07,"74,300","1,567,341"
카카오게임즈,293490,2022.01.06,"74,100","4,080,196"
카카오게임즈,293490,2022.01.05,"86,400","1,223,206"
카카오게임즈,293490,2022.01.04,"90,300","887,824"
카카오게임즈,293490,2022.01.03,"93,000","1,775,041"
카카오게임즈,293490,2021.12.30,"91,000","758,703"
카카오게임즈,293490,2021.12.29,"89,600","1,570,021"
카카오게임즈,293490,2021.12.28,"93,100","1,316,288"
카카오게임즈,293490,2021.12.27,"92,200","864,656"
카카오게임즈,293490,2021.12.24,"90,700","698,701"
카카오게임즈,293490,2021.12.23,"89,700","789,822"
카카오게임즈,293490,2021.12.22,"90,700","959,609"
카카오게임즈,293490,2021.12.21,"88,300","703,402"
카카오게임즈,293490,2021.12.20,"85,900","579,216"
카카오게임즈,293490,2021.12.17,"86,700","1,034,490"
카카오게임즈,293490,2021.12.16,"88,600","1,111,450"
카카오게임즈,293490,2021.12.15,"88,900","788,259"
카카오게임즈,293490,2021.12.14,"89,000","896,228"
카카오게임즈,293490,2021.12.13,"90,200","872,068"
카카오게임즈,293490,2021.12.10,"91,000","1,065,036"
카카오게임즈,293490,2021.12.09,"94,700","1,165,530"
카카오게임즈,293490,2021.12.08,"94,600","1,894,639"
카카오게임즈,293490,2021.12.07,"90,100","1,289,247"
카카오게임즈,293490,2021.12.06,"90,200","1,441,599"
카카오게임즈,293490,2021.12.03,"95,200","1,512,354"
카카오게임즈,293490,2021.12.02,"91,500","2,444,261"
카카오게임즈,293490,2021.12.01,"96,700","1,949,267"
카카오게임즈,293490,2021.11.30,"98,600","6,012,279"
카카오게임즈,293490,2021.11.29,"102,800","2,752,409"
카카오게임즈,293490,2021.11.26,"102,400","2,859,762"
카카오게임즈,293490,2021.11.25,"101,100","3,684,202"
카카오게임즈,293490,2021.11.24,"96,300","2,720,967"
카카오게임즈,293490,2021.11.23,"96,400","2,578,967"
카카오게임즈,293490,2021.11.22,"97,000","4,985,772"
카카오게임즈,293490,2021.11.19,"107,500","3,507,244"
카카오게임즈,293490,2021.11.18,"108,600","3,560,454"
카카오게임즈,293490,2021.11.17,"107,900","5,244,873"
카카오게임즈,293490,2021.11.16,"108,700","9,275,769"
카카오게임즈,293490,2021.11.15,"97,200","2,017,927"
카카오게임즈,293490,2021.11.12,"96,900","4,450,860"
카카오게임즈,293490,2021.11.11,"93,000","4,675,848"
카카오게임즈,293490,2021.11.10,"91,400","4,201,681"
카카오게임즈,293490,2021.11.09,"98,500","3,369,861"
카카오게임즈,293490,2021.11.08,"99,200","5,358,804"
카카오게임즈,293490,2021.11.05,"97,900","6,064,773"
카카오게임즈,293490,2021.11.04,"91,200","10,849,018"
카카오게임즈,293490,2021.11.03,"89,000","4,770,973"
카카오게임즈,293490,2021.11.02,"86,400","4,425,762"
카카오게임즈,293490,2021.11.01,"87,900","9,173,459"
카카오게임즈,293490,2021.10.29,"79,800","1,748,117"
카카오게임즈,293490,2021.10.28,"78,700","2,936,316"
카카오게임즈,293490,2021.10.27,"80,100","3,102,975"
카카오게임즈,293490,2021.10.26,"75,200","1,432,184"
카카오게임즈,293490,2021.10.25,"73,700","986,822"
카카오게임즈,293490,2021.10.22,"75,800","3,344,979"
카카오게임즈,293490,2021.10.21,"72,400","984,482"
카카오게임즈,293490,2021.10.20,"71,000","803,752"
카카오게임즈,293490,2021.10.19,"72,200","918,100"
카카오게임즈,293490,2021.10.18,"71,100","1,614,638"
카카오게임즈,293490,2021.10.15,"67,500","918,822"
카카오게임즈,293490,2021.10.14,"68,900","765,499"
카카오게임즈,293490,2021.10.13,"65,500","660,295"
카카오게임즈,293490,2021.10.12,"65,400","512,444"
카카오게임즈,293490,2021.10.08,"65,300","746,339"
카카오게임즈,293490,2021.10.07,"67,300","1,412,220"
카카오게임즈,293490,2021.10.06,"62,600","819,126"
카카오게임즈,293490,2021.10.05,"63,300","1,170,348"
카카오게임즈,293490,2021.10.01,"64,800","808,026"
카카오게임즈,293490,2021.09.30,"65,700","866,392"
